,make, model, price, year, km_used, fuel_type, mileage, transmission, color, fuel_economy, no_of_owners, registered_at, condition, overall_condition, engine_condition, suspension_condition, brakes_condition, electrical_condition, ac_condition, exterior_condition, interior_condition, tyre_condition
0,2014 Audi Q3,35 TDI Premium,₹ 17 Lakh,Jun-14,"1,00,000 km",Diesel,15.77 kmpl,Automatic,White,Not Available,Second,Registered at,good condition,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
1,2015 Maruti Suzuki Swift,LDi,₹ 4.75 Lakh,Jun-15,"1,43,000 km",Diesel,22.9 kmpl,Manual,White,Not Available,First,Registered at,good condition,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
2,2021 BMW 3-Series,330i M Sport Edition,₹ 54.5 Lakh,Aug-21,"7,000 km",Petrol,16.05 kmpl,Automatic,Blue,Not Available,First,Registered at,"VJ CARS is an ISO 9001 : 2015 Certified Pre-Owned Cars Retail Showroom with a sprawling display of around 25000 sq. ft in the heart of Chennai City at Saidapet. 
We have built a reputation for offering luxury and mid-segment premium cars at a fair price with more than 70 to 100 Certified and Pre-Quality Checked Cars on display.
We have lined up an exceptional quality of our carefully curated and certified pre-owned cars ensuring all our Cars are Non-Accidental, Non-Flooded, RTO checked with careful screening of all original documents etc.
Periodical Service and Insurance History is evidently verified before procuring all our Cars as we strive to give our clients impeccably well-maintained cars.
We are pioneering to follow a Fixed Price Policy to relieve our clients from the hassle and stress of negotiating and in this process also assuring our clients a fair pricing for all your purchases to set a new trend in this traditionally tricky market and create a benchmark for the new generation of buyers.
We pride ourselves on offering our clientele a Transparent, Responsive, Competent and an Effortless Ownership Experience with clear Pre&Post Sale Documentation with Secured Bank Funding options at the lowest interest rates. 
Get in touch with us on 95007 95017 / 95008 95018 to Feel and Drive the Difference. Flagship Showroom at # 62, Jeenis Road, Saidapet Chennai - 15 (Opp. Saidapet Post Office). 

WARRANTY VALID SEP 2024                    SEP 2021 REG. 
",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
3,2018 Datsun Redigo,A,₹ 2.75 Lakh,Jun-18,"25,000 km",Petrol,22.7 kmpl,Manual,Silver,Not Available,First,Registered at,"Less Driven, Single Owner, Test Drive Available & Service History Available",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
4,2014 Hyundai i20,Sportz 1.2 BS-IV,₹ 5.45 Lakh,Jun-14,"30,000 km",Petrol,185 / 65 R14 ,Manual,Grey,Not Available,First,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
5,2014 Hyundai Elantra,1.8 S,₹ 6.75 Lakh,Jun-14,"30,000 km",Petrol,16.3 kmpl,Manual,Gold,Not Available,Second,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
6,2017 Renault Kwid,1.0 RXT Opt [2016-2019],₹ 4.5 Lakh,Jun-17,"60,000 km",Petrol,23.01 kmpl,Manual,Grey,Not Available,First,Registered at,"Good Condition, Original Paint, Single Owner, Finance Available, Service History Available, Test Drive Available & Rear view Camera",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
7,2019 Toyota Innova,2.4 VX 7 STR [2016-2020],₹ 22 Lakh,Jun-19,"34,000 km",Diesel,15.1 kmpl,Manual,Bronze,Not Available,First,Registered at,Immaculate Condition,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
8,2017 Hyundai Elite i20,Sportz 1.2 (O),₹ 5.6 Lakh,Sep-17,"74,876 km",Petrol,18.6 kmpl,Manual,Red,Not Available,First,Registered at,,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
9,2018 Tata Nexon,XZA Plus Petrol Dual Tone,₹ 8.95 Lakh,Apr-18,"23,690 km",Petrol,17.88 kmpl,Automatic,Orange,Not Available,First,Registered at,,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
10,2017 Maruti Suzuki Baleno,Zeta 1.2,₹ 6.3 Lakh,May-17,"47,724 km",Petrol,21.4 kmpl,Manual,Grey,Not Available,First,Registered at,,4.5/5,4.6/5,5-May,5-May,3.6/5,4.3/5,5-May,4.3/5,2.8/5
11,2018 Tata Tiago,Revotron XZ,₹ 5.1 Lakh,Jan-18,"45,672 km",Petrol,23.84 kmpl,Manual,Brown,Not Available,First,Registered at,,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
12,2016 Maruti Suzuki Baleno,Delta,₹ 5.75 Lakh,May-16,"50,141 km",Petrol,21.01 kmpl,Manual,Silver,Not Available,First,Registered at,,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.5/5
13,2016 Honda City,SV,₹ 6.5 Lakh,Jan-16,"62,839 km",Petrol,FWD ,Manual,Brown,Not Available,First,Registered at,,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
14,2017 Honda Jazz,SV Diesel,₹ 6.6 Lakh,Aug-17,"86,680 km",Diesel,27.3 kmpl,Manual,Maroon,Not Available,First,Registered at,,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.1/5
15,2016 Nissan Micra,XV CVT [2016-2017],₹ 4.6 Lakh,Sep-16,"52,343 km",Petrol,19.34 kmpl,Automatic,Red,Not Available,Second,Registered at,,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
16,2012 Mahindra Logan/Verito,1.5 D6 BS-IV,₹ 4.5 Lakh,Jun-12,"1,00,000 km",Diesel,15 kmpl,Manual,Maroon,Not Available,First,Registered at,good condition,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
17,2016 Honda Jazz,VX Petrol,₹ 5.85 Lakh,Jun-16,"33,231 km",Petrol,18.7 kmpl,Manual,White,Not Available,Second,Registered at,good condition,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
18,2015 Maruti Suzuki Ertiga,ZDI SHVS,₹ 7.35 Lakh,Jun-15,"1,00,000 km",Diesel,24.52 kmpl,Manual,Silver,Not Available,First,Registered at,good condition,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
19,2017 Hyundai Xcent,SX CRDi,₹ 6.7 Lakh,Jun-17,"55,000 km",Diesel,24.4 kmpl,Manual,Grey,Not Available,First,Registered at,good condition,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
20,2018 Hyundai Creta,E Plus 1.4 CRDI,₹ 9.45 Lakh,Jun-18,"51,446 km",Diesel,21.38 kmpl,Manual,Red,Not Available,First,Registered at,Excellent Condition....,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
21,2013 Hyundai i10,1.1L iRDE ERA Special Edition,₹ 3.25 Lakh,Jun-13,"61,666 km",Petrol,19.81 kmpl,Manual,Grey,Not Available,First,Registered at,"Excellent Condition, Certified Car With Warranty Optional, Center Locking, Power Steering, Power Windows, Manual Adjustable Mirrors.....",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
22,2012 Ford Figo,Duratorq Diesel Titanium 1.4,₹ 2.75 Lakh,Jun-12,"98,752 km",Diesel,14.7 kmpl,Manual,White,Not Available,First,Registered at,"Good Condition, Inbuilt music system, Front Power Windows, Power Steering, Dual Air Bag, Alloy Wheels, ABS, Fog Lamps, Center Locking, Remote Locking.....",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
23,2018 Hyundai Creta,SX 1.6 AT CRDi,₹ 13.5 Lakh,Jun-18,"74,553 km",Diesel,17.01 kmpl,Automatic,White,Not Available,First,Registered at,good condition,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
24,2017 Honda WR-V,S MT Petrol,₹ 6.9 Lakh,Mar-17,"39,248 km",Petrol,17.5 kmpl,Manual,Brown,Not Available,First,Registered at,,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.3/5
25,2018 Honda WR-V,VX MT Diesel,₹ 8.25 Lakh,Jan-18,"72,516 km",Diesel,25.5 kmpl,Manual,White,Not Available,First,Registered at,,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.6/5
26,2016 Volkswagen Polo,Comfortline 1.2L (P),₹ 5.45 Lakh,Oct-16,"42,989 km",Petrol,16.47 kmpl,Manual,White,Not Available,First,Registered at,,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
27,2015 Hyundai Elite i20,Sportz Plus 1.2 [2019-2020],₹ 5.25 Lakh,Jun-15,"68,413 km",Petrol,19.8 kmpl,Manual,Blue,Not Available,Second,Registered at,"Excellent Condition, Certified Car With Warranty Optional, Inbuilt Music System, Bluetooth Function, Center Locking, Remote Locking, Power Windows, Power Steering, Fog Lamps, Rear Wiper, Dual Air Bags, ABS.....",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
28,2018 Datsun Redigo,S 1.0 AMT [2018-2019],₹ 3.15 Lakh,Jun-18,"59,458 km",Petrol,23 kmpl,Automatic,Grey,Not Available,Second,Registered at,"Excellent Condition, Certified Car With Warranty Optional, Inbuilt Music System, Bluetooth Function, Reverse Camera, Center Locking, Remote Locking, Power Windows, Power Steering,Air Bags....",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
29,2015 Honda Amaze,1.2 VX i-VTEC,₹ 4.75 Lakh,Jun-15,"39,860 km",Petrol,18 kmpl,Manual,White,Not Available,Second,Registered at,"Excellent Condition, Certified Car With Warranty Optional, Touch Screen Music System, Bluetooth Function,Reverse Camera, Reverse Parking Sensors, Multi Control Steering, Center Locking, Remote Locking, Power Windows, Power Steering, Dual Air Bags, ABS, Motor Adjustable Mirrors, Alloy Wheels, Fog Lamps.....",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
30,2018 Maruti Suzuki Celerio X,Zxi (O) AMT [2017-2019],₹ 5 Lakh,Aug-18,"18,500 km",Petrol + Petrol,23.1 kmpl,Automatic,Arctic White,Not Available,First,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
31,2011 Mahindra Xylo,E6 BS-IV,₹ 3.5 Lakh,Jun-11,"2,70,000 km",Diesel,11.4 kmpl,Manual,Diamond White,Not Available,Second,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
32,2021 Hyundai Grand i10 NIOS,Sportz 1.2 Kappa VTVT,₹ 6.25 Lakh,Jan-21,"10,000 km",Petrol,21 kmpl,Manual,Aqua Teal,Not Available,First,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
33,2018 Tata Tigor,Revotron XZ,₹ 4.5 Lakh,Jun-18,"45,000 km",Petrol,20.3 kmpl,Manual,Pearlescent White,Not Available,First,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
34,2006 Mahindra Bolero,DI DX 8 Str,₹ 2 Lakh,Aug-06,"3,00,000 km",Diesel,20.3 kmpl,Manual,Pearlescent White,Not Available,First,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
35,2015 Honda City,VX CVT,₹ 6.86 Lakh,Jan-15,"42,000 km",Petrol,FWD ,Automatic,Taffeta White,Not Available,Third,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
36,2012 Ford Figo,Duratorq Diesel ZXI 1.4,₹ 2.4 Lakh,Jul-12,"85,000 km",Diesel,20 kmpl,Manual,White,Not Available,First,Registered at,Good millage ,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
37,2018 Hyundai Xcent,S CRDi,₹ 6 Lakh,Oct-18,"49,500 km",Diesel,24.4 kmpl,Manual,Polar White,Not Available,First,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
38,2021 Tata Altroz,XZ Petrol,₹ 7.95 Lakh,Oct-21,"5,995 km",Petrol,18.5 kmpl,Manual,Arcade Grey,Not Available,First,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
39,2012 Maruti Suzuki Wagon R,LXi LPG,₹ 3 Lakh,Jun-12,"1,14,000 km",LPG + LPG,FWD ,Manual,Breeze Blue,Not Available,First,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
40,2022 Maruti Suzuki Ertiga,VDi 1.3 Diesel,₹ 9 Lakh,Jan-22,100 km,Diesel,25.47 kmpl,Manual,Pearl Metallic Oxford Blue,Not Available,First,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
41,2017 Maruti Suzuki Wagon R,VXI,₹ 4 Lakh,Mar-17,"45,000 km",Petrol,20.5 kmpl,Manual,Bakers Chocolate,Not Available,First,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
42,2008 Maruti Suzuki Swift,VDi,₹ 2 Lakh,Oct-08,"1,20,000 km",Diesel,14.84 kmpl,Manual,Solid Bright Red,Not Available,Third,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
43,2016 Renault Lodgy,110 PS RxL [2015-2016],₹ 5.3 Lakh,Jan-16,"1,62,000 km",Diesel,19.979999542236328 kmpl,Manual,Brown,Not Available,Second,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
44,2014 Toyota Etios,GD,₹ 5 Lakh,Jul-14,"95,000 km",Diesel + Diesel,23.59000015258789 kmpl,Manual,White,Not Available,First,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
45,2011 Tata Indica,DLS BS-III,"₹ 95,000",Apr-11,"96,800 km",Diesel + Diesel,23.59000015258789 kmpl,Manual,White,Not Available,First,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
46,2011 Tata Indica,LS,₹ 1.1 Lakh,Feb-11,"88,000 km",Diesel + Diesel,18 kmpl,Manual,Mint White,Not Available,First,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
47,2011 Tata Indica,LE,₹ 1.15 Lakh,Feb-11,"96,000 km",Diesel + Petrol,FWD ,Manual,Mint White,Not Available,First,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
48,2021 Hyundai Grand i10,Sportz 1.2 Kappa VTVT Dual Tone,₹ 6.3 Lakh,Jan-21,"12,000 km",Petrol,19.77 kmpl,Manual,Gray,Not Available,First,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
49,2014 Toyota Etios,G,₹ 3.8 Lakh,Sep-14,"3,00,000 km",Petrol,16.780000686645508 kmpl,Manual,Symphony Silver,Not Available,Second,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
50,2014 Ford Fiesta,Titanium+ Diesel [2011-2014],₹ 3.75 Lakh,Jun-14,"55,000 km",Diesel,23.5 kmpl,Manual,Diamond White,Not Available,Second,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
51,2022 Maruti Suzuki Ertiga,LXi,₹ 7 Lakh,May-22,"50,000 km",Petrol,20.5 kmpl,Manual,Metallic Magma Grey,Not Available,First,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
52,2022 Maruti Suzuki Wagon R,LXi (O) 1.0 CNG [2019-2020],₹ 3 Lakh,Jan-22,"10,000 km",CNG + LPG,33.54 km/kg,Manual,Red,Not Available,First,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
53,2017 Ford Ecosport,Titanium+ 1.5L TDCi,₹ 8 Lakh,Jun-17,"85,000 km",Diesel,22.27 kmpl,Manual,Mars Red,Not Available,First,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
54,2022 Maruti Suzuki Alto 800,LXi,₹ 4 Lakh,Jun-22,100 km,Petrol + LPG,22 kmpl,Manual,Granite Grey,Not Available,First,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
55,2016 Datsun Redigo,T (O) [2016-2019],₹ 2.4 Lakh,Jan-16,"40,000 km",Petrol,22.7 kmpl,Manual,Red,Not Available,First,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
56,2016 Honda BR-V,V CVT Petrol,₹ 6.5 Lakh,Dec-16,"48,647 km",Petrol,16 kmpl,Automatic,Grey,Not Available,First,Registered at,,4.6/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,5-Apr
57,2019 Honda WR-V,VX MT Petrol,₹ 7.99 Lakh,Jan-19,"12,993 km",Petrol,17.5 kmpl,Manual,Grey,Not Available,First,Registered at,,4.7/5,4.5/5,5-May,5-May,3.6/5,5-May,5-May,5-May,4.3/5
58,2022 Mahindra Thar,AX 4-STR Hard Top Diesel MT,₹ 15.49 Lakh,Jun-22,"3,708 km",Diesel,4WD / AWD ,Manual,Black,Not Available,First,Registered at,"2022 car tax 2027, finance available test drive available, less driven car. showroom condition car.brand new.",4.7/5,4.5/5,5-May,5-May,3.6/5,5-May,5-May,5-May,4.3/5
59,2018 BMW 5-Series,530i Sport Line,₹ 41.5 Lakh,Jun-18,"11,200 km",Petrol,15.56 kmpl,Automatic,Blue,Not Available,Second,Registered at,"Non Accidental, Alloy Wheels, Rear view Camera, Excellent Condition, Less Driven, Original Paint, Finance Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,5-May,5-May,5-May,4.3/5
60,2019 Honda WR-V,VX MT Diesel,₹ 8.1 Lakh,Jun-19,"20,839 km",Diesel,25.5 kmpl,Manual,Red,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Roadside Assistance Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,5-May,5-May,5-May,4.3/5
61,2018 Hyundai Verna,1.6 VTVT SX,₹ 8.25 Lakh,Jun-18,"21,000 km",Petrol,FWD ,Manual,White,Not Available,First,Registered at,"Excellent Condition, Original Paint, Non Accidental, Less Driven, Certified Car, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Service History Available, Roadside Assistance Available, Test Drive Available & VIP Number",4.7/5,4.5/5,5-May,5-May,3.6/5,5-May,5-May,5-May,4.3/5
62,2018 Mercedes-Benz CLA,200 CDI Sport,₹ 25.5 Lakh,Aug-18,"38,000 km",Diesel,FWD ,Automatic,Blue,Not Available,First,Registered at,"LESS DRIVEN,MINT CONDITION CAR",4.7/5,4.5/5,5-May,5-May,3.6/5,5-May,5-May,5-May,4.3/5
63,2018 Hyundai Xcent,SX 1.2,₹ 5 Lakh,Mar-18,"4,382 km",Petrol,19.1 kmpl,Manual,Grey,Not Available,First,Registered at,,4.8/5,4.5/5,5-May,5-May,3.6/5,5-May,5-May,5-May,4.5/5
64,2021 Toyota Urban Cruiser,High Grade MT,₹ 9 Lakh,May-21,"11,037 km",Petrol,17 kmpl,Manual,Brown,Not Available,First,Registered at,,4.7/5,4.5/5,5-May,5-May,3.6/5,5-May,5-May,4.9/5,4.2/5
65,2018 Jeep Compass,Limited (O) 1.4 Petrol AT [2017-2020],₹ 13 Lakh,Jan-18,"23,446 km",Petrol,FWD ,Automatic,White,Not Available,Second,Registered at,,4.7/5,4.5/5,5-May,5-May,3.6/5,5-May,5-May,5-May,5-Apr
66,2016 Maruti Suzuki Vitara Brezza,VDi,₹ 6.7 Lakh,Nov-16,"41,508 km",Diesel,24.29 kmpl,Manual,Grey,Not Available,First,Registered at,,4.6/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,3.7/5
67,2021 Skoda Kushaq,Style 1.5L TSI MT,₹ 16 Lakh,May-21,"8,444 km",Petrol,17.95 kmpl,Manual,White,Not Available,First,Registered at,,4.8/5,4.5/5,5-May,5-May,3.6/5,5-May,5-May,5-May,4.5/5
68,2021 Mahindra XUV300,1.5 W6 [2019-2020],₹ 9.99 Lakh,Feb-21,"15,500 km",Diesel,Manual - 6 Gears ,Manual,Red,Not Available,First,Registered at,,4.8/5,4.6/5,5-May,5-May,3.6/5,5-May,5-May,5-May,4.2/5
69,2018 Mahindra XUV500,W11(O) [2018-2020],₹ 14 Lakh,Oct-18,"16,617 km",Diesel,15.1 kmpl,Manual,White,Not Available,First,Registered at,,4.7/5,4.5/5,5-May,5-May,3.6/5,5-May,5-May,5-May,4.4/5
70,2019 Hyundai Venue,SX Plus 1.0 Turbo DCT,₹ 11 Lakh,Nov-19,"7,574 km",Petrol,18.15 kmpl,Automatic,Red,Not Available,First,Registered at,,4.8/5,4.6/5,5-May,5-May,3.6/5,5-May,5-May,5-May,4.4/5
71,2021 Renault Kiger,RXZ AMT,₹ 8.69 Lakh,Apr-21,"5,820 km",Petrol,19.03 kmpl,Automatic,Brown,Not Available,First,Registered at,,4.8/5,4.5/5,5-May,5-May,3.6/5,5-May,5-May,4.9/5,4.6/5
72,2020 Honda City,ZX Petrol,₹ 12.5 Lakh,Jun-20,"17,124 km",Petrol,145 Nm @ 4300 rpm ,Manual,Grey,Not Available,First,Registered at,,4.8/5,4.5/5,5-May,5-May,3.6/5,5-May,5-May,5-May,4.5/5
73,2019 Tata Nexon,XZA Plus Petrol Dual Tone,₹ 7.5 Lakh,Feb-19,"47,708 km",Petrol,17.88 kmpl,Automatic,Red,Not Available,First,Registered at,,4.6/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,3.7/5
74,2017 Hyundai Elite i20,Sportz 1.2 (O),₹ 4.89 Lakh,Jun-17,"39,000 km",Petrol,18.6 kmpl,Manual,Black,Not Available,First,Registered at,Very Good Condition & Single Owner,4.6/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,3.7/5
75,2021 Mahindra Thar,LX 4-STR Convertible Diesel MT,₹ 15 Lakh,Jan-21,"12,427 km",Diesel,4WD / AWD ,Manual,Red,Not Available,First,Registered at,,4.7/5,4.5/5,5-May,5-May,3.6/5,5-May,5-May,5-May,4.4/5
76,2020 Kia Seltos,HTK 1.5 [2020-2021],₹ 13.99 Lakh,Jun-20,"39,000 km",Petrol,16.5 kmpl,Manual,Red,Not Available,First,Registered at,Very Good Condition & Single Owner,4.7/5,4.5/5,5-May,5-May,3.6/5,5-May,5-May,5-May,4.4/5
77,2015 Hyundai Grand i10,Asta 1.2 Kappa VTVT [2013-2016],₹ 3.69 Lakh,Jun-15,"25,000 km",Petrol,18.9 kmpl,Manual,Orange,Not Available,First,Registered at,Very Good Condition & Single Owner,4.7/5,4.5/5,5-May,5-May,3.6/5,5-May,5-May,5-May,4.4/5
78,2018 Maruti Suzuki Swift,VDi,₹ 5.69 Lakh,Apr-18,"42,000 km",Diesel,28.4 kmpl,Manual,Red,Not Available,First,Registered at,Get Seller Details,4.7/5,4.5/5,5-May,5-May,3.6/5,5-May,5-May,5-May,4.4/5
79,2015 Hyundai i10,Sportz 1.2 Kappa2,₹ 3.69 Lakh,Feb-15,"6,000 km",Petrol,20.63 kmpl,Manual,Grey,Not Available,First,Registered at,Get Seller Details,4.7/5,4.5/5,5-May,5-May,3.6/5,5-May,5-May,5-May,4.4/5
80,2017 Honda Amaze,1.2 S i-VTEC,₹ 4 Lakh,Mar-17,"30,000 km",Petrol,17.8 kmpl,Manual,Brown,Not Available,First,Registered at,Get Seller Details,4.7/5,4.5/5,5-May,5-May,3.6/5,5-May,5-May,5-May,4.4/5
81,2013 Ford Ecosport,Trend 1.5 Ti-VCT,₹ 3.79 Lakh,Mar-13,"46,000 km",Petrol,15.8 kmpl,Manual,Orange,Not Available,First,Registered at,Get Seller Details,4.7/5,4.5/5,5-May,5-May,3.6/5,5-May,5-May,5-May,4.4/5
82,2016 Hyundai Creta,SX 1.6 CRDi,₹ 7.79 Lakh,Apr-16,"61,229 km",Diesel,19.67 kmpl,Manual,Grey,Not Available,First,Registered at,,4.6/5,4.5/5,5-May,5-May,3.6/5,4.8/5,5-May,4.7/5,3.7/5
83,2017 Renault Duster,85 PS RXL 4X2 MT [2016-2017],₹ 5.75 Lakh,Apr-17,"51,133 km",Diesel,19.87 kmpl,Manual,White,Not Available,First,Registered at,,4.6/5,4.5/5,5-May,5-May,3.6/5,4.8/5,5-May,4.9/5,3.5/5
84,2017 Honda City,VX (O) MT,₹ 8.39 Lakh,Jan-17,"43,295 km",Petrol,FWD ,Manual,Silver,Not Available,First,Registered at,,4.6/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.9/5,3.8/5
85,2013 Maruti Suzuki Swift DZire,VXI,₹ 3.49 Lakh,Oct-13,"40,208 km",Petrol,19.1 kmpl,Manual,Grey,Not Available,First,Registered at,,4.6/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.3/5,4.2/5
86,2015 Hyundai Grand i10,Asta 1.2 Kappa VTVT (O) [2013-2017],₹ 3.79 Lakh,Mar-15,"46,259 km",Petrol,18.9 kmpl,Manual,Maroon,Not Available,First,Registered at,,4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
87,2016 Maruti Suzuki Wagon R,VXI AMT,₹ 4.33 Lakh,Jun-16,"16,043 km",Petrol,20.5 kmpl,Automatic,Silver,Not Available,Third,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
88,2014 Audi Q5,2.0 TDI quattro Premium Plus,₹ 21.5 Lakh,Jun-14,"35,186 km",Diesel,12.8 kmpl,Automatic,Brown,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Roadside Assistance Available & Test Drive Available",4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.1/5
